id,type,token,location,code
1,TRANSLATIONUNITDECLARATION,"/data/00000019/submissions/00013457_Sociologia_c0807009/pa.java",,""
2,RECORDDECLARATION,"sol",pa.java(3:1-73:2),"class sol{
  Scanner kb;
  sol(Scanner kb){this.kb = kb;}
  int N;
  int count;
  boolean visited[];
  Deque<Integer> order = new LinkedList<Integer>();
  LinkedList<Integer> Nodes = new LinkedList<Integer>();
  HashMap<Integer,Integer> map = new HashMap<Integer,Integer>();
  ArrayList<LinkedList<Integer>> adj = new ArrayList<LinkedList<Integer>>();
  ArrayList<LinkedList<Integer>> tadj = new ArrayList<LinkedList<Integer>>();
  int find_node(int u){
    if(map.containsKey(u)) return map.get(u);
    else{
      adj.add(new LinkedList<Integer>());
      tadj.add(new LinkedList<Integer>());
      int p = map.size();
      map.put(u,p);
      return p;
    }
  }
  void read(){
    N = kb.nextInt();
    map.clear();
    adj.clear();
    tadj.clear();
    for(int i = 0; i < N; i++){
      int u = kb.nextInt();
      u = find_node(u);
      int c = kb.nextInt();
      for(int k = 0; k < c; k++){
        int v = kb.nextInt();       
        v = find_node(v);
        adj.get(u).add(v);
        tadj.get(v).add(u);
      }
    }
    N = map.size();
  }
  void dfs(int u){
    if(visited[u]) return;
    else visited[u] = true;
    for(int v : adj.get(u)){
      if(!visited[v]) dfs(v);
    }
    order.addFirst(u);
  }
  void flood_fill(int u){
    count++;
    visited[u] = true;
    for(int v : tadj.get(u)){
      if(!visited[v]) flood_fill(v);
    }
  }
  void solve(){
    order.clear();
    visited = new boolean[N];
    for(int i = 0; i < N; i++) dfs(i);
    for(int i = 0; i < N; i++) visited[i] = false;
    int A = 0, B = 0;
    for(int u : order){
      if(!visited[u]){
        count = 0;
        flood_fill(u);
        if(count>=4) A++;
        else B+=count;
      }
    }
    System.out.printf(""%d %d\n"",A,B);
  }
}"
3,RECORDDECLARATION,"pa",pa.java(75:1-87:2),"public class pa{
  public static void main(String args[]){
    Scanner kb = new Scanner(System.in);
    sol s = new sol(kb);
    int c = kb.nextInt();
    for(int i = 1; i <= c; i++){
      System.out.printf(""Caso #%d\n"",i);
      s.read();
      s.solve();
    }
    System.out.printf(""\n"");
  }
}"
4,INCLUDEDECLARATION,"java.util",,""
5,FIELDDECLARATION,"this",,""
6,FIELDDECLARATION,"kb",pa.java(4:3-4:14),"kb"
7,FIELDDECLARATION,"N",pa.java(6:3-6:9),"N"
8,FIELDDECLARATION,"count",pa.java(7:3-7:13),"count"
9,FIELDDECLARATION,"visited",pa.java(8:3-8:21),"visited"
10,FIELDDECLARATION,"order",pa.java(9:3-9:52),"order = new LinkedList<Integer>()"
11,FIELDDECLARATION,"Nodes",pa.java(10:3-10:57),"Nodes = new LinkedList<Integer>()"
12,FIELDDECLARATION,"map",pa.java(11:3-11:65),"map = new HashMap<Integer, Integer>()"
13,FIELDDECLARATION,"adj",pa.java(12:3-12:77),"adj = new ArrayList<LinkedList<Integer>>()"
14,FIELDDECLARATION,"tadj",pa.java(13:3-13:78),"tadj = new ArrayList<LinkedList<Integer>>()"
15,METHODDECLARATION,"find_node",pa.java(14:3-23:4),"int find_node(int u){
    if(map.containsKey(u)) return map.get(u);
    else{
      adj.add(new LinkedList<Integer>());
      tadj.add(new LinkedList<Integer>());
      int p = map.size();
      map.put(u,p);
      return p;
    }
  }"
16,METHODDECLARATION,"read",pa.java(24:3-41:4),"void read(){
    N = kb.nextInt();
    map.clear();
    adj.clear();
    tadj.clear();
    for(int i = 0; i < N; i++){
      int u = kb.nextInt();
      u = find_node(u);
      int c = kb.nextInt();
      for(int k = 0; k < c; k++){
        int v = kb.nextInt();       
        v = find_node(v);
        adj.get(u).add(v);
        tadj.get(v).add(u);
      }
    }
    N = map.size();
  }"
17,METHODDECLARATION,"dfs",pa.java(42:3-49:4),"void dfs(int u){
    if(visited[u]) return;
    else visited[u] = true;
    for(int v : adj.get(u)){
      if(!visited[v]) dfs(v);
    }
    order.addFirst(u);
  }"
18,METHODDECLARATION,"flood_fill",pa.java(50:3-56:4),"void flood_fill(int u){
    count++;
    visited[u] = true;
    for(int v : tadj.get(u)){
      if(!visited[v]) flood_fill(v);
    }
  }"
19,METHODDECLARATION,"solve",pa.java(57:3-72:4),"void solve(){
    order.clear();
    visited = new boolean[N];
    for(int i = 0; i < N; i++) dfs(i);
    for(int i = 0; i < N; i++) visited[i] = false;
    int A = 0, B = 0;
    for(int u : order){
      if(!visited[u]){
        count = 0;
        flood_fill(u);
        if(count>=4) A++;
        else B+=count;
      }
    }
    System.out.printf(""%d %d\n"",A,B);
  }"
20,CONSTRUCTORDECLARATION,"sol",pa.java(5:3-5:33),"sol(Scanner kb){this.kb = kb;}"
21,NEWEXPRESSION,"",pa.java(10:31-10:56),"new LinkedList<Integer>()"
22,CONSTRUCTEXPRESSION,"",pa.java(10:31-10:56),"new LinkedList<Integer>()"
23,NEWEXPRESSION,"",pa.java(12:40-12:76),"new ArrayList<LinkedList<Integer>>()"
24,CONSTRUCTEXPRESSION,"",pa.java(12:40-12:76),"new ArrayList<LinkedList<Integer>>()"
25,NEWEXPRESSION,"",pa.java(13:41-13:77),"new ArrayList<LinkedList<Integer>>()"
26,CONSTRUCTEXPRESSION,"",pa.java(13:41-13:77),"new ArrayList<LinkedList<Integer>>()"
27,VARIABLEDECLARATION,"this",,""
28,COMPOUNDSTATEMENT,"",pa.java(24:14-41:4),"{
    N = kb.nextInt();
    map.clear();
    adj.clear();
    tadj.clear();
    for(int i = 0; i < N; i++){
      int u = kb.nextInt();
      u = find_node(u);
      int c = kb.nextInt();
      for(int k = 0; k < c; k++){
        int v = kb.nextInt();       
        v = find_node(v);
        adj.get(u).add(v);
        tadj.get(v).add(u);
      }
    }
    N = map.size();
  }"
29,DECLAREDREFERENCEEXPRESSION,"this",pa.java(25:5-25:6),"this"
30,RETURNSTATEMENT,"",,""
31,BINARYOPERATOR,"=",pa.java(25:5-25:22),"N = kb.nextInt();"
32,MEMBERCALLEXPRESSION,"clear",pa.java(26:5-26:17),"map.clear();"
33,MEMBERCALLEXPRESSION,"clear",pa.java(27:5-27:17),"adj.clear();"
34,MEMBERCALLEXPRESSION,"clear",pa.java(28:5-28:18),"tadj.clear();"
35,FORSTATEMENT,"",pa.java(29:5-39:6),"for(int i = 0; i < N; i++){
      int u = kb.nextInt();
      u = find_node(u);
      int c = kb.nextInt();
      for(int k = 0; k < c; k++){
        int v = kb.nextInt();       
        v = find_node(v);
        adj.get(u).add(v);
        tadj.get(v).add(u);
      }
    }"
36,BINARYOPERATOR,"=",pa.java(40:5-40:20),"N = map.size();"
37,DECLAREDREFERENCEEXPRESSION,"clear",pa.java(26:9-26:14),"clear"
38,DECLAREDREFERENCEEXPRESSION,"this",pa.java(27:5-27:8),"this"
39,MEMBEREXPRESSION,"map",pa.java(26:5-26:8),"map"
40,DECLAREDREFERENCEEXPRESSION,"this",pa.java(26:5-26:8),"this"
41,DECLAREDREFERENCEEXPRESSION,"clear",pa.java(27:9-27:14),"clear"
42,DECLAREDREFERENCEEXPRESSION,"this",pa.java(28:5-28:9),"this"
43,MEMBEREXPRESSION,"adj",pa.java(27:5-27:8),"adj"
44,DECLAREDREFERENCEEXPRESSION,"clear",pa.java(28:10-28:15),"clear"
45,LITERAL,"",pa.java(29:17-29:18),"0"
46,MEMBEREXPRESSION,"tadj",pa.java(28:5-28:9),"tadj"
47,MEMBEREXPRESSION,"N",pa.java(40:5-40:6),"N"
48,MEMBERCALLEXPRESSION,"size",pa.java(40:9-40:19),"map.size()"
49,DECLAREDREFERENCEEXPRESSION,"this",pa.java(40:5-40:6),"this"
50,DECLAREDREFERENCEEXPRESSION,"this",pa.java(40:9-40:12),"this"
51,DECLAREDREFERENCEEXPRESSION,"size",pa.java(40:13-40:17),"size"
